Exercise Name,Filename,YouTube Link
3/4 sit-up,3-4-sit-up.jpg,https://www.youtube.com/watch?v=DkaLZzzkKYc
45° side bend,45-side-bend.jpg,https://www.youtube.com/watch?v=rDn-E1xL_wA
air bike,air-bike.jpg,https://www.youtube.com/watch?v=KC-ZSfOmXgE
all fours squad stretch,all-fours-squad-stretch.jpg,https://www.youtube.com/watch?v=PdTNAjLfybs
alternate heel touchers,alternate-heel-touchers.jpg,https://www.youtube.com/watch?v=i-BBrCVNT9A
alternate lateral pulldown,alternate-lateral-pulldown.jpg,https://www.youtube.com/watch?v=bNmvKpJSWKM
ankle circles,ankle-circles.jpg,https://www.youtube.com/watch?v=z24gW6aHJrI
archer pull up,archer-pull-up.jpg,https://www.youtube.com/watch?v=6qtY8j92gA8
archer push up,archer-push-up.jpg,https://www.youtube.com/watch?v=Gdej5nhhb38
arm slingers hanging bent knee legs,arm-slingers-hanging-bent-knee-legs.jpg,https://www.youtube.com/watch?v=hgVidvQzNQo
arm slingers hanging straight legs,arm-slingers-hanging-straight-legs.jpg,https://www.youtube.com/watch?v=hgVidvQzNQo
arms apart circular toe touch (male),arms-apart-circular-toe-touch-male.jpg,https://www.youtube.com/watch?v=lzR7tzI1JUI
arms overhead full sit-up (male),arms-overhead-full-sit-up-male.jpg,https://www.youtube.com/watch?v=pYmpOSgtykk
assisted chest dip (kneeling),assisted-chest-dip-kneeling.jpg,https://www.youtube.com/watch?v=LH9iZNaO7oU
assisted hanging knee raise,assisted-hanging-knee-raise.jpg,https://www.youtube.com/watch?v=hgVidvQzNQo
assisted hanging knee raise with throw down,assisted-hanging-knee-raise-with-throw-down.jpg,https://www.youtube.com/watch?v=VhKqEBB-Cg0
assisted lying calves stretch,assisted-lying-calves-stretch.jpg,https://www.youtube.com/watch?v=FgN-WXPQqOo
assisted lying glutes stretch,assisted-lying-glutes-stretch.jpg,https://www.youtube.com/watch?v=cj4dOfA46XY
assisted lying gluteus and piriformis stretch,,https://www.youtube.com/watch?v=IJYM-aNqtGY
assisted lying leg raise with lateral throw down,assisted-lying-leg-raise-with-lateral-throw-down.jpg,https://www.youtube.com/watch?v=TdfRsUbODlM
assisted lying leg raise with throw down,assisted-lying-leg-raise-with-throw-down.jpg,https://www.youtube.com/watch?v=5uIjIX0xD1A
assisted motion russian twist,assisted-motion-russian-twist.jpg,https://www.youtube.com/watch?v=C3RauLi8FNw
assisted parallel close grip pull-up,assisted-parallel-close-grip-pull-up.jpg,https://www.youtube.com/watch?v=618kx6wiDGM
assisted prone hamstring,assisted-prone-hamstring.jpg,https://www.youtube.com/watch?v=lGNeJsdqJwg
assisted prone lying quads stretch,assisted-prone-lying-quads-stretch.jpg,https://www.youtube.com/watch?v=RLZBBlR1C2g
assisted prone rectus femoris stretch,assisted-prone-rectus-femoris-stretch.jpg,https://www.youtube.com/watch?v=sN8p_Yt_ZZs
assisted pull-up,assisted-pull-up.jpg,https://www.youtube.com/watch?v=CdO5BvP6Ti8
assisted seated pectoralis major stretch with stability ball,,https://www.youtube.com/watch?v=iMCcMGTiuGU
assisted side lying adductor stretch,assisted-side-lying-adductor-stretch.jpg,https://www.youtube.com/watch?v=li7m589g8zI
assisted sit-up,assisted-sit-up.jpg,https://www.youtube.com/watch?v=ElHAwdrYsHQ
assisted standing chin-up,assisted-standing-chin-up.jpg,https://www.youtube.com/watch?v=CdO5BvP6Ti8
assisted standing pull-up,assisted-standing-pull-up.jpg,https://www.youtube.com/watch?v=CdO5BvP6Ti8
assisted standing triceps extension (with towel),assisted-standing-triceps-extension-with-towel.jpg,https://www.youtube.com/watch?v=6qaGfCMl9zs
assisted triceps dip (kneeling),assisted-triceps-dip-kneeling.jpg,https://www.youtube.com/watch?v=LH9iZNaO7oU
assisted wide-grip chest dip (kneeling),assisted-wide-grip-chest-dip-kneeling.jpg,https://www.youtube.com/watch?v=9IIEInyacFE
astride jumps (male),astride-jumps-male.jpg,https://www.youtube.com/watch?v=scNT0yNlVAI
back and forth step,back-and-forth-step.jpg,https://www.youtube.com/watch?v=ZXMZG6giIiU
back extension on exercise ball,back-extension-on-exercise-ball.jpg,https://www.youtube.com/watch?v=YGqr6rLaBdM
back lever,back-lever.jpg,https://www.youtube.com/watch?v=0CD5Pqs5FCw
back pec stretch,back-pec-stretch.jpg,https://www.youtube.com/watch?v=O8rJw_TmC1Y
backward jump,backward-jump.jpg,https://www.youtube.com/watch?v=vCt1xGkd41k
balance board,balance-board.jpg,https://www.youtube.com/watch?v=WUyN8kAB3nY
band alternating biceps curl,band-alternating-biceps-curl.jpg,https://www.youtube.com/watch?v=OUrlYlNqipY
band alternating v-up,band-alternating-v-up.jpg,https://www.youtube.com/watch?v=-ipF-Xl5eY4
band assisted pull-up,band-assisted-pull-up.jpg,https://www.youtube.com/watch?v=32WqAGWkMVM
band assisted wheel rollerout,,https://www.youtube.com/watch?v=MinlHnG7j4k
band bench press,band-bench-press.jpg,https://www.youtube.com/watch?v=EXjPRJJORFE
band bent-over hip extension,band-bent-over-hip-extension.jpg,https://www.youtube.com/watch?v=wiaaZ4zXCQI
band bicycle crunch,band-bicycle-crunch.jpg,https://www.youtube.com/watch?v=Or3BkGOTt8Y
band close-grip pulldown,,https://www.youtube.com/watch?v=nmY4MTSFln8
band close-grip push-up,band-close-grip-push-up.jpg,https://www.youtube.com/watch?v=CZT3gEobyOo
band concentration curl,band-concentration-curl.jpg,https://www.youtube.com/watch?v=XIHrZeZm9sI
band fixed back close grip pulldown,,https://www.youtube.com/watch?v=nmY4MTSFln8
band fixed back underhand pulldown,,https://www.youtube.com/watch?v=8b67ouJTRkE
band front lateral raise,band-front-lateral-raise.jpg,https://www.youtube.com/watch?v=pYVlZiu2Mps
band front raise,band-front-raise.jpg,https://www.youtube.com/watch?v=pYVlZiu2Mps
band hip lift,band-hip-lift.jpg,https://www.youtube.com/watch?v=px7mrenkiQw
band horizontal pallof press,,https://www.youtube.com/watch?v=5aZ0IhJS8O8
band jack knife sit-up,band-jack-knife-sit-up.jpg,https://www.youtube.com/watch?v=z9YXlfHEfLU
band kneeling one arm pulldown,,https://www.youtube.com/watch?v=cprwWc5qUnQ
band kneeling twisting crunch,band-kneeling-twisting-crunch.jpg,https://www.youtube.com/watch?v=WRaddjtuhrA
band lying hip internal rotation,band-lying-hip-internal-rotation.jpg,https://www.youtube.com/watch?v=XSm23OIrgeg
band lying straight leg raise,band-lying-straight-leg-raise.jpg,https://www.youtube.com/watch?v=Wnhc8hsTtpI
band one arm overhead biceps curl,band-one-arm-overhead-biceps-curl.jpg,https://www.youtube.com/watch?v=XIHrZeZm9sI
band one arm single leg split squat,band-one-arm-single-leg-split-squat.jpg,https://www.youtube.com/watch?v=ynGQy_GOfrQ
band one arm standing low row,band-one-arm-standing-low-row.jpg,https://www.youtube.com/watch?v=uVT8qEn-5eo
band one arm twisting chest press,band-one-arm-twisting-chest-press.jpg,https://www.youtube.com/watch?v=T0UJ0W-_yIE
band one arm twisting seated row,band-one-arm-twisting-seated-row.jpg,https://www.youtube.com/watch?v=4l8uAiGo9lY
band pull through,band-pull-through.jpg,https://www.youtube.com/watch?v=v_L0e-SntSU
band push sit-up,band-push-sit-up.jpg,https://www.youtube.com/watch?v=ieb8mVCnKBw
